,address,town,blk_no,street,max_floor_lvl,latitude,longitude
1482,108 C'WEALTH CRES,QUEENSTOWN,108,C'WEALTH CRES,10.0,1.3076676,103.7991344
1486,108 GANGSA RD,BUKIT PANJANG,108,GANGSA RD,10.0,1.3777109,103.7671827
1493,108 HOUGANG AVE 1,HOUGANG,108,HOUGANG AVE 1,4.0,1.3530490000000002,103.88969099999998
1496,108 JLN BT MERAH,BUKIT MERAH,108,JLN BT MERAH,10.0,1.2791362,103.82567859999999
1503,108 JLN RAJAH,KALLANG/WHAMPOA,108,JLN RAJAH,11.0,1.3281288,103.8555041
1507,108 JURONG EAST ST 13,JURONG EAST,108,JURONG EAST ST 13,12.0,1.33836695,103.7372832
1510,108 LENGKONG TIGA,BEDOK,108,LENGKONG TIGA,9.0,1.3247023,103.90992320000001
1513,108 LOR 1 TOA PAYOH,TOA PAYOH,108,LOR 1 TOA PAYOH,10.0,1.3415132000000003,103.84725329999999
1517,108 MCNAIR RD,KALLANG/WHAMPOA,108,MCNAIR RD,15.0,1.32177025,103.8598264
1530,108 PASIR RIS ST 12,PASIR RIS,108,PASIR RIS ST 12,13.0,1.36750085,103.9570595
1533,108 POTONG PASIR AVE 1,TOA PAYOH,108,POTONG PASIR AVE 1,14.0,1.3348781999999997,103.8680039
1540,108 RIVERVALE WALK,SENGKANG,108,RIVERVALE WALK,17.0,1.3828958,103.8997506
1548,108 SERANGOON NTH AVE 1,SERANGOON,108,SERANGOON NTH AVE 1,12.0,1.36990775,103.8710187
1553,108 SIMEI ST 1,TAMPINES,108,SIMEI ST 1,11.0,1.3429722,103.95101419999999
1558,108 TAMPINES ST 11,TAMPINES,108,TAMPINES ST 11,11.0,1.3478929,103.9485589
1566,108 TECK WHYE LANE,CHOA CHU KANG,108,TECK WHYE LANE,13.0,1.3782973500000002,103.75292360000002
1570,108 WOODLANDS ST 13,WOODLANDS,108,WOODLANDS ST 13,13.0,1.4372118,103.7815671
1575,108 YISHUN RING RD,YISHUN,108,YISHUN RING RD,9.0,1.43272725,103.8292961
1584,108B MCNAIR RD,KALLANG/WHAMPOA,108B,MCNAIR RD,30.0,1.3200708,103.8591472
1595,108C MCNAIR RD,KALLANG/WHAMPOA,108C,MCNAIR RD,30.0,1.31977,103.8596402
1603,109 ALJUNIED CRES,GEYLANG,109,ALJUNIED CRES,12.0,1.31939175,103.8844633
1608,109 ANG MO KIO AVE 4,ANG MO KIO,109,ANG MO KIO AVE 4,12.0,1.3701431,103.8376537
1616,109 BEDOK NTH RD,BEDOK,109,BEDOK NTH RD,12.0,1.3320701,103.9348777
1624,109 BEDOK RESERVOIR RD,BEDOK,109,BEDOK RESERVOIR RD,4.0,1.32980455,103.9097966
1626,109 BISHAN ST 12,BISHAN,109,BISHAN ST 12,13.0,1.3467475,103.8479996
1636,109 BT BATOK WEST AVE 6,BUKIT BATOK,109,BT BATOK WEST AVE 6,11.0,1.3469925,103.7461239
1640,109 BT PURMEI RD,BUKIT MERAH,109,BT PURMEI RD,12.0,1.2739482,103.8252941
1646,109 C'WEALTH CRES,QUEENSTOWN,109,C'WEALTH CRES,10.0,1.307317,103.7989607
1649,109 CLEMENTI ST 11,CLEMENTI,109,CLEMENTI ST 11,4.0,1.32165365,103.7703637
1651,109 GANGSA RD,BUKIT PANJANG,109,GANGSA RD,4.0,1.3773951999999998,103.7677882
1653,109 HOUGANG AVE 1,HOUGANG,109,HOUGANG AVE 1,13.0,1.3553878,103.8894502
1659,109 JLN BT MERAH,BUKIT MERAH,109,JLN BT MERAH,13.0,1.2794991,103.8260265
1663,109 JURONG EAST ST 13,JURONG EAST,109,JURONG EAST ST 13,25.0,1.33834225,103.7359411
1668,109 LENGKONG TIGA,BEDOK,109,LENGKONG TIGA,14.0,1.3246522,103.9108806
1674,109 LOR 1 TOA PAYOH,TOA PAYOH,109,LOR 1 TOA PAYOH,10.0,1.3412261,103.84627209999998
1678,109 MCNAIR RD,KALLANG/WHAMPOA,109,MCNAIR RD,15.0,1.32159405,103.859101
1686,109 PASIR RIS ST 11,PASIR RIS,109,PASIR RIS ST 11,13.0,1.3685415999999997,103.9560662
1696,109 POTONG PASIR AVE 1,TOA PAYOH,109,POTONG PASIR AVE 1,4.0,1.33484505,103.8674372
1698,109 RIVERVALE WALK,SENGKANG,109,RIVERVALE WALK,17.0,1.3832842,103.8995811
1704,109 SERANGOON NTH AVE 1,SERANGOON,109,SERANGOON NTH AVE 1,13.0,1.3694182999999998,103.87053119999999
1709,109 SIMEI ST 1,TAMPINES,109,SIMEI ST 1,11.0,1.3423768,103.9502807
1717,109 SPOTTISWOODE PK RD,BUKIT MERAH,109,SPOTTISWOODE PK RD,24.0,1.2741055,103.8366159
1721,109 TAMPINES ST 11,TAMPINES,109,TAMPINES ST 11,11.0,1.3472794,103.9484597
1729,109 TECK WHYE LANE,CHOA CHU KANG,109,TECK WHYE LANE,11.0,1.37856175,103.7518004
1733,109 WHAMPOA RD,KALLANG/WHAMPOA,109,WHAMPOA RD,14.0,1.3270202,103.8556238
1738,109 WOODLANDS ST 13,WOODLANDS,109,WOODLANDS ST 13,4.0,1.4374536,103.7810619
1739,109 YISHUN RING RD,YISHUN,109,YISHUN RING RD,11.0,1.4328078,103.8286502
1744,109A DEPOT RD,BUKIT MERAH,109A,DEPOT RD,25.0,1.2814191,103.8028474
1753,109A EDGEDALE PLAINS,PUNGGOL,109A,EDGEDALE PLAINS,17.0,1.39472635,103.9100745
1759,109B DEPOT RD,BUKIT MERAH,109B,DEPOT RD,25.0,1.2814191,103.8028474
1767,109B EDGEDALE PLAINS,PUNGGOL,109B,EDGEDALE PLAINS,17.0,1.3950086,103.909644
1777,109C EDGEDALE PLAINS,PUNGGOL,109C,EDGEDALE PLAINS,17.0,1.3952433,103.9092904
1786,109D EDGEDALE PLAINS,PUNGGOL,109D,EDGEDALE PLAINS,17.0,1.3956927,103.9088173
1792,10A BENDEMEER RD,KALLANG/WHAMPOA,10A,BENDEMEER RD,40.0,1.314991389,103.8605054
1795,10A BOON TIONG RD,BUKIT MERAH,10A,BOON TIONG RD,40.0,1.2864775,103.82913709999998
1802,10B BEDOK STH AVE 2,BEDOK,10B,BEDOK STH AVE 2,20.0,1.32243025,103.936223
1806,10B BOON TIONG RD,BUKIT MERAH,10B,BOON TIONG RD,30.0,1.2863126,103.82914469999999
1812,10B LOR 7 TOA PAYOH,TOA PAYOH,10B,LOR 7 TOA PAYOH,25.0,1.3371427,103.8583618
1817,10C BEDOK STH AVE 2,BEDOK,10C,BEDOK STH AVE 2,2.0,1.3221044,103.9362258
1818,10D BEDOK STH AVE 2,BEDOK,10D,BEDOK STH AVE 2,23.0,1.32178925,103.9364139
1823,10E BEDOK STH AVE 2,BEDOK,10E,BEDOK STH AVE 2,21.0,1.32161165,103.9369627
1827,10F BEDOK STH AVE 2,BEDOK,10F,BEDOK STH AVE 2,24.0,1.3221137,103.9369917
1832,11 CANTONMENT CL,BUKIT MERAH,11,CANTONMENT CL,30.0,1.2744195,103.8397293
1846,11 CHAI CHEE RD,BEDOK,11,CHAI CHEE RD,15.0,1.3268732,103.9249266
1856,11 EUNOS CRES,GEYLANG,11,EUNOS CRES,16.0,1.32181425,103.9044554
1861,11 FARRER PK RD,KALLANG/WHAMPOA,11,FARRER PK RD,30.0,1.3124837,103.8521207
1871,11 HAIG RD,GEYLANG,11,HAIG RD,13.0,1.3147594,103.896662
1875,11 HOLLAND DR,QUEENSTOWN,11,HOLLAND DR,22.0,1.3088902,103.7938393
1886,11 JLN BATU,KALLANG/WHAMPOA,11,JLN BATU,12.0,1.3017209,103.8825952
1895,11 JLN BT MERAH,BUKIT MERAH,11,JLN BT MERAH,4.0,1.2869066,103.8088114
1896,11 JOO SENG RD,TOA PAYOH,11,JOO SENG RD,20.0,1.3350212499999998,103.8807723
1902,11 LOR 8 TOA PAYOH,TOA PAYOH,11,LOR 8 TOA PAYOH,16.0,1.33710685,103.8591321
1910,11 MARSILING DR,WOODLANDS,11,MARSILING DR,22.0,1.43959845,103.7743947
1916,11 PINE CL,GEYLANG,11,PINE CL,19.0,1.30789595,103.8828857
1927,11 ST. GEORGE'S RD,KALLANG/WHAMPOA,11,ST. GEORGE'S RD,12.0,1.3228468,103.8631448
1933,11 TECK WHYE LANE,CHOA CHU KANG,11,TECK WHYE LANE,13.0,1.3797394,103.754954
1937,11 TOH YI DR,BUKIT TIMAH,11,TOH YI DR,11.0,1.3376138,103.7727287
1944,11 UPP BOON KENG RD,KALLANG/WHAMPOA,11,UPP BOON KENG RD,16.0,1.3142903,103.8710448
1951,110 ALJUNIED CRES,GEYLANG,110,ALJUNIED CRES,12.0,1.31998115,103.8844555
1956,110 ANG MO KIO AVE 4,ANG MO KIO,110,ANG MO KIO AVE 4,12.0,1.3703357,103.8368816
1964,110 BEDOK NTH RD,BEDOK,110,BEDOK NTH RD,12.0,1.3236799,103.91084670000001
1972,110 BEDOK RESERVOIR RD,BEDOK,110,BEDOK RESERVOIR RD,12.0,1.33019585,103.9103173
1976,110 BISHAN ST 12,BISHAN,110,BISHAN ST 12,9.0,1.3474448,103.8477826
1983,110 BT BATOK WEST AVE 6,BUKIT BATOK,110,BT BATOK WEST AVE 6,25.0,1.3475603,103.7457752
1988,110 BT PURMEI RD,BUKIT MERAH,110,BT PURMEI RD,12.0,1.2738047,103.8270224
1995,110 C'WEALTH CRES,QUEENSTOWN,110,C'WEALTH CRES,10.0,1.3069067,103.798655
2001,110 CLEMENTI ST 13,CLEMENTI,110,CLEMENTI ST 13,4.0,1.3229112,103.770687
2002,110 GANGSA RD,BUKIT PANJANG,110,GANGSA RD,13.0,1.3779459,103.7681713
2007,110 HOUGANG AVE 1,HOUGANG,110,HOUGANG AVE 1,11.0,1.3548409,103.88964949999999
2013,110 JURONG EAST ST 13,JURONG EAST,110,JURONG EAST ST 13,16.0,1.33891955,103.7368903
2020,110 LENGKONG TIGA,BEDOK,110,LENGKONG TIGA,7.0,1.3237162,103.9108276
2025,110 LOR 1 TOA PAYOH,TOA PAYOH,110,LOR 1 TOA PAYOH,10.0,1.34193865,103.84618150000001
2029,110 MCNAIR RD,KALLANG/WHAMPOA,110,MCNAIR RD,11.0,1.32195385,103.8587406
2036,110 PASIR RIS ST 11,PASIR RIS,110,PASIR RIS ST 11,11.0,1.36867275,103.9565851
2042,110 RIVERVALE WALK,SENGKANG,110,RIVERVALE WALK,17.0,1.3835769,103.9001579
2051,110 SERANGOON NTH AVE 1,SERANGOON,110,SERANGOON NTH AVE 1,4.0,1.36937705,103.87139440000001
2053,110 SIMEI ST 1,TAMPINES,110,SIMEI ST 1,4.0,1.34263015,103.9500719
2055,110 SPOTTISWOODE PK RD,BUKIT MERAH,110,SPOTTISWOODE PK RD,24.0,1.273668,103.8364347
2061,110 TAMPINES ST 11,TAMPINES,110,TAMPINES ST 11,11.0,1.3469887499999997,103.94936170000001
2069,110 TECK WHYE LANE,CHOA CHU KANG,110,TECK WHYE LANE,12.0,1.37819275,103.75192729999999
2077,110 WHAMPOA RD,KALLANG/WHAMPOA,110,WHAMPOA RD,14.0,1.3268803,103.8559701
2085,110 WOODLANDS ST 13,WOODLANDS,110,WOODLANDS ST 13,13.0,1.4376013,103.7815893
2090,110 YISHUN RING RD,YISHUN,110,YISHUN RING RD,16.0,1.4333402499999999,103.8291684
2101,110A PUNGGOL FIELD,PUNGGOL,110A,PUNGGOL FIELD,17.0,1.3963709,103.9090457
2112,110B PUNGGOL FIELD,PUNGGOL,110B,PUNGGOL FIELD,17.0,1.39573645,103.90969279999999
2121,110C PUNGGOL FIELD,PUNGGOL,110C,PUNGGOL FIELD,17.0,1.3954025,103.9101258
2131,110D PUNGGOL FIELD,PUNGGOL,110D,PUNGGOL FIELD,17.0,1.3952516,103.9103709
2136,111 ALJUNIED CRES,GEYLANG,111,ALJUNIED CRES,12.0,1.32040565,103.8842628
2142,111 ANG MO KIO AVE 4,ANG MO KIO,111,ANG MO KIO AVE 4,12.0,1.3708972,103.8372628
2148,111 BEDOK NTH RD,BEDOK,111,BEDOK NTH RD,13.0,1.3314701,103.935472
2154,111 BEDOK RESERVOIR RD,BEDOK,111,BEDOK RESERVOIR RD,4.0,1.3298816,103.9100525
2157,111 BISHAN ST 12,BISHAN,111,BISHAN ST 12,13.0,1.3470989,103.8480481
2165,111 BT BATOK WEST AVE 6,BUKIT BATOK,111,BT BATOK WEST AVE 6,25.0,1.348415,103.7459308
2171,111 BT PURMEI RD,BUKIT MERAH,111,BT PURMEI RD,16.0,1.274388,103.8272941
2178,111 C'WEALTH CRES,QUEENSTOWN,111,C'WEALTH CRES,10.0,1.3064596,103.79849740000002
2182,111 CLEMENTI ST 13,CLEMENTI,111,CLEMENTI ST 13,13.0,1.32316235,103.7711971
2186,111 EDGEFIELD PLAINS,PUNGGOL,111,EDGEFIELD PLAINS,17.0,1.39671715,103.9067219
2203,111 GANGSA RD,BUKIT PANJANG,111,GANGSA RD,13.0,1.3781866,103.7683973
2210,111 HO CHING RD,JURONG WEST,111,HO CHING RD,10.0,1.33388255,103.7233162
2216,111 HOUGANG AVE 1,HOUGANG,111,HOUGANG AVE 1,4.0,1.3549273,103.8885637
2218,111 JURONG EAST ST 13,JURONG EAST,111,JURONG EAST ST 13,25.0,1.33877265,103.7356474
2223,111 LENGKONG TIGA,BEDOK,111,LENGKONG TIGA,14.0,1.32412675,103.9112575
2231,111 LOR 1 TOA PAYOH,TOA PAYOH,111,LOR 1 TOA PAYOH,10.0,1.3409026,103.8454028
2234,111 LOR 3 GEYLANG,KALLANG/WHAMPOA,111,LOR 3 GEYLANG,4.0,1.31235865,103.8738117
2237,111 MCNAIR RD,KALLANG/WHAMPOA,111,MCNAIR RD,15.0,1.32118025,103.8584762
2246,111 PASIR RIS ST 11,PASIR RIS,111,PASIR RIS ST 11,4.0,1.3679325,103.9563541
2247,111 RIVERVALE WALK,SENGKANG,111,RIVERVALE WALK,17.0,1.3837334,103.9009409
2258,111 SERANGOON NTH AVE 1,SERANGOON,111,SERANGOON NTH AVE 1,13.0,1.3690875,103.870621
2263,111 SIMEI ST 1,TAMPINES,111,SIMEI ST 1,4.0,1.3423695999999998,103.9494856
2264,111 TAMPINES ST 11,TAMPINES,111,TAMPINES ST 11,11.0,1.3467910000000003,103.9471397
2271,111 TECK WHYE LANE,CHOA CHU KANG,111,TECK WHYE LANE,12.0,1.37784285,103.7520926
2279,111 WHAMPOA RD,KALLANG/WHAMPOA,111,WHAMPOA RD,14.0,1.32665335,103.8562678
2285,111 WOODLANDS ST 13,WOODLANDS,111,WOODLANDS ST 13,10.0,1.4378091,103.7822109
2292,111 YISHUN RING RD,YISHUN,111,YISHUN RING RD,11.0,1.4333148,103.82847360000002
2301,111A DEPOT RD,BUKIT MERAH,111A,DEPOT RD,25.0,1.2810624,103.8088651
2311,111B DEPOT RD,BUKIT MERAH,111B,DEPOT RD,25.0,1.28117855,103.8085488
2320,112 ALJUNIED CRES,GEYLANG,112,ALJUNIED CRES,12.0,1.3204111,103.8851036
2327,112 ANG MO KIO AVE 4,ANG MO KIO,112,ANG MO KIO AVE 4,12.0,1.37127315,103.8357671
2333,112 BEDOK NTH RD,BEDOK,112,BEDOK NTH RD,13.0,1.3310316,103.9353813
2340,112 BEDOK RESERVOIR RD,BEDOK,112,BEDOK RESERVOIR RD,15.0,1.32967695,103.9103561
2346,112 BISHAN ST 12,BISHAN,112,BISHAN ST 12,9.0,1.3469371499999998,103.8493979
2352,112 BT BATOK WEST AVE 6,BUKIT BATOK,112,BT BATOK WEST AVE 6,12.0,1.3482843,103.7451979
2356,112 BT PURMEI RD,BUKIT MERAH,112,BT PURMEI RD,14.0,1.2745295,103.8259281
2365,112 C'WEALTH CRES,QUEENSTOWN,112,C'WEALTH CRES,10.0,1.3067036000000003,103.79824659999998
2370,112 CLEMENTI ST 13,CLEMENTI,112,CLEMENTI ST 13,4.0,1.32327385,103.7698431
2371,112 EDGEFIELD PLAINS,PUNGGOL,112,EDGEFIELD PLAINS,17.0,1.3963763,103.9071621
2386,112 HO CHING RD,JURONG WEST,112,HO CHING RD,10.0,1.33388535,103.7236916
2391,112 HOUGANG AVE 1,HOUGANG,112,HOUGANG AVE 1,11.0,1.3544167,103.8886047
2398,112 JURONG EAST ST 13,JURONG EAST,112,JURONG EAST ST 13,12.0,1.3393285,103.7360981
2402,112 LENGKONG TIGA,BEDOK,112,LENGKONG TIGA,18.0,1.323632,103.9116591
2410,112 LOR 1 TOA PAYOH,TOA PAYOH,112,LOR 1 TOA PAYOH,10.0,1.3415266,103.8454598
2414,112 LOR 3 GEYLANG,KALLANG/WHAMPOA,112,LOR 3 GEYLANG,8.0,1.3120589,103.8736641
2417,112 MCNAIR RD,KALLANG/WHAMPOA,112,MCNAIR RD,15.0,1.32104245,103.859038
2426,112 PASIR RIS ST 11,PASIR RIS,112,PASIR RIS ST 11,11.0,1.36780295,103.95545320000001
2433,112 PENDING RD,BUKIT PANJANG,112,PENDING RD,4.0,1.3785618,103.7687223
2436,112 RIVERVALE WALK,SENGKANG,112,RIVERVALE WALK,17.0,1.38356485,103.901543
2443,112 SERANGOON NTH AVE 1,SERANGOON,112,SERANGOON NTH AVE 1,4.0,1.3692294,103.8716567
2446,112 SIMEI ST 1,TAMPINES,112,SIMEI ST 1,11.0,1.3429403,103.9493701
2455,112 TAMPINES ST 11,TAMPINES,112,TAMPINES ST 11,11.0,1.34646445,103.9478154
2462,112 TECK WHYE LANE,CHOA CHU KANG,112,TECK WHYE LANE,9.0,1.37756535,103.7516955
2468,112 WHAMPOA RD,KALLANG/WHAMPOA,112,WHAMPOA RD,18.0,1.3260167,103.8570385
2479,112 WOODLANDS ST 13,WOODLANDS,112,WOODLANDS ST 13,4.0,1.4383427,103.7817281
2481,112 YISHUN RING RD,YISHUN,112,YISHUN RING RD,16.0,1.43427455,103.829204
2492,112A DEPOT RD,BUKIT MERAH,112A,DEPOT RD,25.0,1.2815592,103.8081396
2502,112B DEPOT RD,BUKIT MERAH,112B,DEPOT RD,25.0,1.28164125,103.807736
2511,113 ANG MO KIO AVE 4,ANG MO KIO,113,ANG MO KIO AVE 4,12.0,1.37176695,103.8359641
2515,113 BEDOK RESERVOIR RD,BEDOK,113,BEDOK RESERVOIR RD,4.0,1.3305264,103.91070939999999
2518,113 BISHAN ST 12,BISHAN,113,BISHAN ST 12,12.0,1.34722365,103.8488274
2526,113 BT BATOK WEST AVE 6,BUKIT BATOK,113,BT BATOK WEST AVE 6,12.0,1.3487529,103.7452556
2530,113 BT PURMEI RD,BUKIT MERAH,113,BT PURMEI RD,14.0,1.2748886,103.82710560000001
2535,113 C'WEALTH CRES,QUEENSTOWN,113,C'WEALTH CRES,10.0,1.3068491,103.7979945
2539,113 CLEMENTI ST 13,CLEMENTI,113,CLEMENTI ST 13,13.0,1.3236285,103.7702782
2543,113 DEPOT RD,BUKIT MERAH,113,DEPOT RD,25.0,1.28136095,103.807325
2549,113 HOUGANG AVE 1,HOUGANG,113,HOUGANG AVE 1,13.0,1.3534827,103.8885144
2558,113 JLN BT MERAH,BUKIT MERAH,113,JLN BT MERAH,12.0,1.2805225,103.8258442
2562,113 JURONG EAST ST 13,JURONG EAST,113,JURONG EAST ST 13,12.0,1.3388458,103.73506660000001
2566,113 LENGKONG TIGA,BEDOK,113,LENGKONG TIGA,4.0,1.3235764,103.9118873
2567,113 LOR 1 TOA PAYOH,TOA PAYOH,113,LOR 1 TOA PAYOH,10.0,1.3412672000000003,103.84457010000003
2571,113 LOR 3 GEYLANG,KALLANG/WHAMPOA,113,LOR 3 GEYLANG,14.0,1.31178035,103.8738115
2575,113 PASIR RIS ST 11,PASIR RIS,113,PASIR RIS ST 11,13.0,1.36807265,103.9558406
2583,113 PENDING RD,BUKIT PANJANG,113,PENDING RD,12.0,1.3783555,103.7695145
2591,113 POTONG PASIR AVE 1,TOA PAYOH,113,POTONG PASIR AVE 1,13.0,1.3362372,103.8634182
2600,113 RIVERVALE WALK,SENGKANG,113,RIVERVALE WALK,17.0,1.38405285,103.9018316
2609,113 SERANGOON NTH AVE 1,SERANGOON,113,SERANGOON NTH AVE 1,4.0,1.36865035,103.8702612
2612,113 SIMEI ST 1,TAMPINES,113,SIMEI ST 1,11.0,1.34282705,103.9498671
2621,113 TAMPINES ST 11,TAMPINES,113,TAMPINES ST 11,9.0,1.34645275,103.94617450000001
2626,113 TAO CHING RD,JURONG WEST,113,TAO CHING RD,10.0,1.333184,103.72430630000001
2630,113 TECK WHYE LANE,CHOA CHU KANG,113,TECK WHYE LANE,10.0,1.37802295,103.75068900000001
2638,113 WHAMPOA RD,KALLANG/WHAMPOA,113,WHAMPOA RD,18.0,1.3257617,103.8571511
2647,113 WOODLANDS ST 13,WOODLANDS,113,WOODLANDS ST 13,13.0,1.4379739999999999,103.7812573
2651,113 YISHUN RING RD,YISHUN,113,YISHUN RING RD,9.0,1.4347376,103.8286275
2658,113A MCNAIR RD,KALLANG/WHAMPOA,113A,MCNAIR RD,35.0,1.321425756,103.8601947
2659,113C MCNAIR RD,KALLANG/WHAMPOA,113C,MCNAIR RD,28.0,1.320882353,103.8603317
2661,113D MCNAIR RD,KALLANG/WHAMPOA,113D,MCNAIR RD,28.0,1.320148599,103.8597637
2662,114 ANG MO KIO AVE 4,ANG MO KIO,114,ANG MO KIO AVE 4,12.0,1.3726059,103.83620460000002
2670,114 BEDOK RESERVOIR RD,BEDOK,114,BEDOK RESERVOIR RD,13.0,1.33054955,103.9099614
2674,114 BISHAN ST 12,BISHAN,114,BISHAN ST 12,12.0,1.3475835,103.8487945
2682,114 BT BATOK WEST AVE 6,BUKIT BATOK,114,BT BATOK WEST AVE 6,11.0,1.3488447,103.7460455
2686,114 BT PURMEI RD,BUKIT MERAH,114,BT PURMEI RD,16.0,1.275194,103.82584030000001
2696,114 CLEMENTI ST 13,CLEMENTI,114,CLEMENTI ST 13,13.0,1.32384305,103.770568
2700,114 DEPOT RD,BUKIT MERAH,114,DEPOT RD,25.0,1.2816934,103.8069013
2705,114 EDGEFIELD PLAINS,PUNGGOL,114,EDGEFIELD PLAINS,17.0,1.3960499,103.9075682
2719,114 HO CHING RD,JURONG WEST,114,HO CHING RD,10.0,1.3337885499999997,103.72410629999997
2723,114 HOUGANG AVE 1,HOUGANG,114,HOUGANG AVE 1,12.0,1.3531823499999998,103.88902269999997
2731,114 JURONG EAST ST 13,JURONG EAST,114,JURONG EAST ST 13,4.0,1.3392133,103.7346514
2734,114 LENGKONG TIGA,BEDOK,114,LENGKONG TIGA,18.0,1.32327425,103.9119862
2742,114 LOR 1 TOA PAYOH,TOA PAYOH,114,LOR 1 TOA PAYOH,10.0,1.34092215,103.8442792
2746,114 LOR 3 GEYLANG,KALLANG/WHAMPOA,114,LOR 3 GEYLANG,10.0,1.3114813,103.8739592
2751,114 MARSILING RISE,WOODLANDS,114,MARSILING RISE,4.0,1.4386976999999999,103.78134059999998
2752,114 PASIR RIS ST 11,PASIR RIS,114,PASIR RIS ST 11,13.0,1.3685433,103.9548492
2761,114 PENDING RD,BUKIT PANJANG,114,PENDING RD,4.0,1.3778951,103.7698992
2765,114 POTONG PASIR AVE 1,TOA PAYOH,114,POTONG PASIR AVE 1,13.0,1.3369542,103.8631667
2773,114 RIVERVALE WALK,SENGKANG,114,RIVERVALE WALK,17.0,1.38409845,103.9011569
2781,114 SERANGOON NTH AVE 1,SERANGOON,114,SERANGOON NTH AVE 1,13.0,1.3688403,103.8715038
2787,114 SIMEI ST 1,TAMPINES,114,SIMEI ST 1,11.0,1.3437063,103.9503227
2795,114 TAMPINES ST 11,TAMPINES,114,TAMPINES ST 11,11.0,1.34597795,103.9467809
2800,114 TECK WHYE LANE,CHOA CHU KANG,114,TECK WHYE LANE,12.0,1.3785329,103.7509483
2808,114 WHAMPOA RD,KALLANG/WHAMPOA,114,WHAMPOA RD,14.0,1.3252749,103.8572977
2819,114 YISHUN RING RD,YISHUN,114,YISHUN RING RD,9.0,1.4346163,103.8266913
2825,115 BEDOK NTH RD,BEDOK,115,BEDOK NTH RD,13.0,1.3313891,103.9368316
2834,115 BEDOK RESERVOIR RD,BEDOK,115,BEDOK RESERVOIR RD,13.0,1.33068155,103.90881659999998
2838,115 BISHAN ST 12,BISHAN,115,BISHAN ST 12,9.0,1.3479335,103.8484672
2846,115 BT BATOK WEST AVE 6,BUKIT BATOK,115,BT BATOK WEST AVE 6,25.0,1.3492074,103.7466034
2852,115 BT MERAH CTRL,BUKIT MERAH,115,BT MERAH CTRL,25.0,1.2842039,103.8146073
2857,115 BT PURMEI RD,BUKIT MERAH,115,BT PURMEI RD,16.0,1.2753564,103.8268859
2866,115 CLEMENTI ST 13,CLEMENTI,115,CLEMENTI ST 13,15.0,1.3236869,103.7713677
2871,115 EDGEFIELD PLAINS,PUNGGOL,115,EDGEFIELD PLAINS,17.0,1.3952716,103.907347
2877,115 HO CHING RD,JURONG WEST,115,HO CHING RD,19.0,1.3340454,103.7245522
2883,115 HOUGANG AVE 1,HOUGANG,115,HOUGANG AVE 1,12.0,1.3527685,103.8878668
2891,115 JURONG EAST ST 13,JURONG EAST,115,JURONG EAST ST 13,12.0,1.33980765,103.73555499999999
2898,115 LENGKONG TIGA,BEDOK,115,LENGKONG TIGA,7.0,1.3231108,103.91121
2902,115 LOR 1 TOA PAYOH,TOA PAYOH,115,LOR 1 TOA PAYOH,10.0,1.3406266500000001,103.8442983
2906,115 MARSILING RISE,WOODLANDS,115,MARSILING RISE,13.0,1.43825265,103.781028
2914,115 PASIR RIS ST 11,PASIR RIS,115,PASIR RIS ST 11,11.0,1.3688902999999997,103.95526260000001
2922,115 PENDING RD,BUKIT PANJANG,115,PENDING RD,12.0,1.3780645,103.76915230000002
2930,115 POTONG PASIR AVE 1,TOA PAYOH,115,POTONG PASIR AVE 1,13.0,1.3374383000000003,103.86263810000001
2939,115 RIVERVALE WALK,SENGKANG,115,RIVERVALE WALK,17.0,1.3846064,103.9008582
2948,115 SERANGOON NTH AVE 1,SERANGOON,115,SERANGOON NTH AVE 1,4.0,1.3682576,103.8707702
2952,115 TECK WHYE LANE,CHOA CHU KANG,115,TECK WHYE LANE,12.0,1.3789092500000002,103.7511534
2960,115 WHAMPOA RD,KALLANG/WHAMPOA,115,WHAMPOA RD,14.0,1.32643215,103.8575806
2968,115 YISHUN RING RD,YISHUN,115,YISHUN RING RD,9.0,1.43434815,103.8282932
2973,115A YISHUN RING RD,YISHUN,115A,YISHUN RING RD,16.0,1.4333072,103.82758059999999
2980,115B YISHUN RING RD,YISHUN,115B,YISHUN RING RD,16.0,1.4332696,103.8270194
2990,115C YISHUN RING RD,YISHUN,115C,YISHUN RING RD,16.0,1.4335666,103.8273602
2994,116 BEDOK NTH RD,BEDOK,116,BEDOK NTH RD,13.0,1.3309428,103.93810069999999
3003,116 BEDOK RESERVOIR RD,BEDOK,116,BEDOK RESERVOIR RD,13.0,1.3310441,103.9086594
3011,116 BISHAN ST 12,BISHAN,116,BISHAN ST 12,9.0,1.347461,103.84954580000002
3017,116 BT BATOK WEST AVE 6,BUKIT BATOK,116,BT BATOK WEST AVE 6,12.0,1.3496083,103.7463761
3020,116 BT MERAH CTRL,BUKIT MERAH,116,BT MERAH CTRL,25.0,1.2839699,103.8149968
3026,116 BT MERAH VIEW,BUKIT MERAH,116,BT MERAH VIEW,5.0,1.2848855,103.8212554
3028,116 CLEMENTI ST 13,CLEMENTI,116,CLEMENTI ST 13,15.0,1.324262,103.7719568
3033,116 EDGEFIELD PLAINS,PUNGGOL,116,EDGEFIELD PLAINS,17.0,1.3955353,103.9070282
3050,116 HOUGANG AVE 1,HOUGANG,116,HOUGANG AVE 1,13.0,1.3531142,103.8877417
